Surface_total,Surface_usable,Room,Bedroom,Bathroom,Parking,Service_fees,Location,URL,Price
42.0,42.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980141186-coronel-souper-4222-459-16-_JM#position=13&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,376500.0
28.0,28.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979294527-conde-del-maule-4470-481-1-_JM#position=14&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,315000.0
60.0,55.0,,2.0,2.0,,40000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979469113-departamento-en-arriendo-de-2-dorm-en-estacion-central-_JM#position=15&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,350000.0
36.0,36.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980084169-coronel-souper-4222-459-1-_JM#position=16&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,321000.0
36.0,36.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980147558-coronel-souper-4222-459-1-_JM#position=17&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,313000.0
34.0,34.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980147557-coronel-souper-4222-459-1-_JM#position=18&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,323500.0
35.0,35.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980134973-coronel-souper-4222-459-1-_JM#position=19&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,319500.0
33.0,33.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980065423-coronel-souper-4222-459-1-_JM#position=20&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,322500.0
34.0,34.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980090254-coronel-souper-4222-459-1-_JM#position=21&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,317500.0
34.0,34.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979946629-coronel-souper-4222-459-1-_JM#position=22&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,313500.0
27.0,27.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980147561-coronel-souper-4222-459-11-_JM#position=23&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,279000.0
56.0,56.0,,2.0,2.0,,80000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979654822-ref10825-oferta-en-arriendo-dpto-2d2b-terraza-_JM#position=24&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,350000.0
58.0,50.0,,2.0,2.0,,60000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-978431207-departamento-amplio-luminoso-buen-estado-y-posibilidad-_JM#position=25&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,380000.0
27.0,27.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980090255-coronel-souper-4222-459-11-_JM#position=26&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,288000.0
27.0,27.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980147562-coronel-souper-4222-459-11-_JM#position=27&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,287000.0
27.0,27.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980153861-coronel-souper-4222-459-11-_JM#position=28&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,284000.0
27.0,27.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980061247-coronel-souper-4222-459-11-_JM#position=29&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,283000.0
43.0,43.0,3.0,2.0,1.0,1.0,,Estacion Central,https://www.portalinmobiliario.com/MLC-980128665-conde-del-maule-4106-1-est-1-bod-752-3-_JM#position=30&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,410000.0
70.0,67.0,3.0,3.0,2.0,,108000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-980128658-avenida-ecuador-4122-_JM#position=31&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,465000.0
52.0,,4.0,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980170375-dpto-2d2b-mariposa-con-bod-y-estacionamiento-metro-ecuador-_JM#position=32&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,444446.0
34.0,34.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-978789977-recreo-250-1-bod-632-1-_JM#position=33&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,300000.0
